id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
265253|2020-01-26|domingo|13:50:00|SC|282.0|NOVA ITABERABA|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|1|0
265254|2020-01-26|domingo|17:00:00|BA|116.0|VITORIA DA CONQUISTA|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Feridas|Pleno dia|Nublado|2|0|0|1
265255|2020-01-26|domingo|17:20:00|TO|153.0|ARAGUAINA|Ingestão de Álcool|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Nublado|3|0|1|0
265256|2020-01-26|domingo|17:10:00|SP|381.0|ATIBAIA|Desobediência às normas de trânsito pelo condutor|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|1|0|0|1
265257|2020-01-26|domingo|15:05:00|MG|50.0|UBERABA|Ingestão de Álcool|Colisão com objeto estático|Sem Vítimas|Pleno dia|Céu Claro|1|0|0|0
265258|2020-01-26|domingo|16:46:00|MS|163.0|NOVA ALVORADA DO SUL|Condutor Dormindo|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|5|0|5|0
265259|2020-01-26|domingo|16:15:00|PR|116.0|CAMPINA GRANDE DO SUL|Avarias e/ou desgaste excessivo no pneu|Tombamento|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|1
265260|2020-01-26|domingo|16:00:00|BA|235.0|PEDRO ALEXANDRE|Falta de Atenção à Condução|Colisão frontal|Com Vítimas Fatais|Pleno dia|Nublado|2|1|0|0
265262|2020-01-26|domingo|17:15:00|SP|381.0|ATIBAIA|Não guardar distância de segurança|Colisão traseira|Com Vítimas Feridas|Pleno dia|Céu Claro|6|0|3|0
265263|2020-01-26|domingo|17:50:00|DF|20.0|BRASILIA|Velocidade Incompatível|Capotamento|Com Vítimas Fatais|Pleno dia|Chuva|1|1|0|0
265264|2020-01-26|domingo|17:45:00|SC|470.0|LONTRAS|Agressão Externa|Atropelamento de Animal|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|2|0
265265|2020-01-26|domingo|16:40:00|MA|10.0|ACAILANDIA|Falta de Atenção à Condução|Colisão transversal|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|0|1
